Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
67.5000 63.6786 0.5718 0.1431 0.2851 0.00000 6.795 1499.9 12.0 0.0000 0.6468 74.82 0.0628 0.0001 0.0011
73.1250 63.6786 0.6049 0.1335 0.2616 0.00000 6.767 1499.9 12.0 0.0000 0.6951 77.88 0.0628 0.0000 0.0006
78.7500 63.6786 0.5177 0.1920 0.2903 0.00000 6.765 1500.0 12.0 0.0000 0.2374 28.32 0.0628 0.0000 0.0000
84.3750 63.6786 0.4471 0.2351 0.3178 0.00000 7.362 1500.0 12.0 0.0000 0.1828 22.92 0.0628 0.0000 0.0000
90.0000 63.6786 0.4695 0.2203 0.3102 0.00000 7.121 1500.0 12.0 0.0000 0.1498 18.50 0.0628 0.0000 0.0000
95.6250 63.6786 0.4525 0.2265 0.3209 0.00000 7.110 1500.0 12.0 0.0000 0.1646 20.62 0.0628 0.0000 0.0000
101.2500 63.6786 0.4384 0.2323 0.3293 0.00000 7.127 1500.0 12.0 0.0000 0.1439 18.24 0.0628 0.0000 0.0000
106.8750 63.6786 0.3859 0.2648 0.3493 0.00000 7.588 1500.0 12.0 0.0000 0.1876 24.63 0.0628 0.0000 0.0000
112.5000 63.6786 0.4128 0.2396 0.3476 0.00000 7.246 1500.0 12.0 0.0000 0.2814 36.46 0.0628 0.0000 0.0000
118.1250 63.6786 0.3629 0.2806 0.3565 0.00000 7.674 1500.0 12.0 0.0000 0.1850 24.64 0.0628 0.0000 0.0000
123.7500 63.6786 0.4455 0.2334 0.3212 0.00000 7.260 1500.0 12.0 0.0000 0.3173 39.91 0.0628 0.0000 0.0000
129.3750 63.6786 0.4404 0.2380 0.3216 0.00000 7.447 1500.0 12.0 0.0000 0.1279 16.13 0.0628 0.0000 0.0000
135.0000 63.6786 0.3542 0.2895 0.3563 0.00000 8.418 1500.0 12.0 0.0000 0.0951 12.71 0.0628 0.0000 0.0000
140.6250 63.6786 0.3141 0.3152 0.3707 0.00000 8.856 1500.0 12.0 0.0000 0.0756 10.36 0.0628 0.0000 0.0000
