Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
168.7500 80.2688 6.42159 0.433439 0.326479 0.154759 46.046 49.141 1.000000 0.865043 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
174.3750 80.2688 6.96740 0.439360 0.344973 0.173373 40.385 43.852 1.000000 0.537023 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
180.0000 80.2688 6.92118 0.439140 0.344037 0.172110 38.979 42.422 1.000000 0.450801 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-174.3750 80.2688 6.03404 0.427745 0.309435 0.139813 35.325 38.121 1.000000 0.266172 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-168.7500 80.2688 6.84160 0.436574 0.337911 0.167689 24.059 25.851 0.534212 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-163.1250 80.2688 7.07237 0.439754 0.346857 0.176109 20.837 22.039 0.341148 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-146.2500 80.2688 6.03918 0.427191 0.308383 0.139431 25.257 26.974 0.615748 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-140.6250 80.2688 6.66014 0.435075 0.332770 0.162015 21.558 22.800 0.383322 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-135.0000 80.2688 6.97277 0.437420 0.341060 0.171497 20.836 22.035 0.349583 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-129.3750 80.2688 6.82816 0.436933 0.338498 0.167749 21.413 22.671 0.374888 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-118.1250 80.2688 5.46934 0.421099 0.286498 0.119255 36.068 38.453 1.000000 0.340211 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-112.5000 80.2688 6.11030 0.430234 0.315657 0.144045 40.918 43.799 1.000000 0.567951 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-106.8750 80.2688 6.90687 0.441329 0.348424 0.174055 49.927 53.408 1.000000 1.000000 0.109660 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-101.2500 80.2688 6.64086 0.431923 0.326133 0.158452 55.680 58.849 1.000000 1.000000 0.567014 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-95.6250 80.2688 6.98239 0.435999 0.338281 0.170261 55.383 58.789 1.000000 1.000000 0.542646 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-90.0000 80.2688 6.26580 0.426914 0.311124 0.144768 69.038 71.934 1.000000 1.000000 1.000000 0.459236 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
