Lon Lat b theta_s theta_fc theta_wp awc_mm evaporable_mm u00 u01 u02 u03 u04 u05 u06 u07 u08 u09 u10 u11 u12 u13 u14
-50.6250 80.2688 4.62147 0.405886 0.237833 0.084293 54.899 56.585 1.000000 1.000000 0.821932 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
-45.0000 80.2688 4.30292 0.401485 0.220783 0.072466 53.448 54.898 1.000000 1.000000 0.850048 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
61.8750 74.7445 6.60633 0.435744 0.333507 0.161425 75.818 79.046 1.000000 1.000000 1.000000 0.715091 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
67.5000 74.7445 5.67027 0.427332 0.302834 0.130031 102.258 104.858 1.000000 1.000000 1.000000 1.000000 1.000000 0.352395 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
73.1250 74.7445 5.97888 0.423294 0.299607 0.134383 115.797 118.485 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.506096 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
78.7500 74.7445 6.95051 0.433605 0.333121 0.167137 81.344 84.687 1.000000 1.000000 1.000000 1.000000 0.272733 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
84.3750 74.7445 7.27563 0.438876 0.347079 0.179590 44.801 48.393 1.000000 0.858483 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
90.0000 74.7445 7.35997 0.439961 0.350071 0.182511 44.428 48.078 1.000000 0.835053 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
95.6250 74.7445 7.82350 0.446518 0.367275 0.199014 34.600 38.580 1.000000 0.239931 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
101.2500 74.7445 7.55806 0.444104 0.360230 0.191041 30.731 34.312 0.937208 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800 0.062800
